feature	u	v	sig_level	power	estimated_sample_size
Cytoplasm_Correlation_Manders_RFP_DAPI	1	1679	4.17362270450751e-05	0.8	2088.87022435491
Cytoplasm_Correlation_Manders_RFP_GFP	1	1679	4.17362270450751e-05	0.8	911.921895832321
Cytoplasm_Correlation_Overlap_DAPI_GFP	1	1679	4.17362270450751e-05	0.8	379.573193426918
Cytoplasm_Correlation_Overlap_DAPI_RFP	1	1679	4.17362270450751e-05	0.8	146.47936661048
Cytoplasm_Correlation_Overlap_GFP_RFP	1	1679	4.17362270450751e-05	0.8	550.033851245509
Cytoplasm_Correlation_RWC_DAPI_GFP	1	1679	4.17362270450751e-05	0.8	4240.69879989099
Cytoplasm_Correlation_RWC_DAPI_RFP	1	1679	4.17362270450751e-05	0.8	12785.4973269953
Cytoplasm_Correlation_RWC_GFP_DAPI	1	1679	4.17362270450751e-05	0.8	957.551269879964
Cytoplasm_Correlation_RWC_GFP_RFP	1	1679	4.17362270450751e-05	0.8	556.686676683454
Cytoplasm_Correlation_RWC_RFP_DAPI	1	1679	4.17362270450751e-05	0.8	1764.31936901984
Cytoplasm_Correlation_RWC_RFP_GFP	1	1679	4.17362270450751e-05	0.8	1814.75947319037
Cytoplasm_Granularity_10_DAPI	1	1679	4.17362270450751e-05	0.8	11302.9464737609
Cytoplasm_Granularity_10_GFP	1	1679	4.17362270450751e-05	0.8	27634.2574664935
Cytoplasm_Granularity_10_RFP	1	1679	4.17362270450751e-05	0.8	1552.08255280623
Cytoplasm_Granularity_11_DAPI	1	1679	4.17362270450751e-05	0.8	4896.34725300317
Cytoplasm_Granularity_11_GFP	1	1679	4.17362270450751e-05	0.8	4878.33080693562
Cytoplasm_Granularity_11_RFP	1	1679	4.17362270450751e-05	0.8	821.646251680941
Cytoplasm_Granularity_12_DAPI	1	1679	4.17362270450751e-05	0.8	4467.32229303256
Cytoplasm_Granularity_12_GFP	1	1679	4.17362270450751e-05	0.8	6299.36299206107
Cytoplasm_Granularity_12_RFP	1	1679	4.17362270450751e-05	0.8	19058.8058939663
Cytoplasm_Granularity_13_DAPI	1	1679	4.17362270450751e-05	0.8	9681.36063743585
Cytoplasm_Granularity_13_GFP	1	1679	4.17362270450751e-05	0.8	3170.77057704655
Cytoplasm_Granularity_13_RFP	1	1679	4.17362270450751e-05	0.8	1926.7396861634
Cytoplasm_Granularity_14_DAPI	1	1679	4.17362270450751e-05	0.8	7574.62874127288
Cytoplasm_Granularity_14_GFP	1	1679	4.17362270450751e-05	0.8	6578.17343896283
Cytoplasm_Granularity_14_RFP	1	1679	4.17362270450751e-05	0.8	15227.2833335979
Cytoplasm_Granularity_15_DAPI	1	1679	4.17362270450751e-05	0.8	14145.3680870512
Cytoplasm_Granularity_15_GFP	1	1679	4.17362270450751e-05	0.8	4909.16583144486
Cytoplasm_Granularity_15_RFP	1	1679	4.17362270450751e-05	0.8	6042.04371669218
Cytoplasm_Granularity_16_DAPI	1	1679	4.17362270450751e-05	0.8	21131.6871339371
Cytoplasm_Granularity_16_GFP	1	1679	4.17362270450751e-05	0.8	1935.45685333129
Cytoplasm_Granularity_16_RFP	1	1679	4.17362270450751e-05	0.8	820.862907568471
Cytoplasm_Granularity_1_DAPI	1	1679	4.17362270450751e-05	0.8	168.248214002212
Cytoplasm_Granularity_1_GFP	1	1679	4.17362270450751e-05	0.8	105.400716784529
Cytoplasm_Granularity_1_RFP	1	1679	4.17362270450751e-05	0.8	208.414708048319
Cytoplasm_Granularity_2_DAPI	1	1679	4.17362270450751e-05	0.8	4302.00176962893
Cytoplasm_Granularity_2_GFP	1	1679	4.17362270450751e-05	0.8	1689.45812823536
Cytoplasm_Granularity_2_RFP	1	1679	4.17362270450751e-05	0.8	415.949891305625
